build_id,crit_vulns,high_vulns,med_vulns
B1000,0,0,3
B1001,0,0,3
B1002,0,0,3
B1003,0,5,1
B1004,0,0,0
B1005,0,0,0
B1006,0,8,4
B1007,0,0,3
B1008,0,0,2
B1009,0,8,3
B1010,0,0,1
B1011,0,0,3
B1012,0,0,2
B1013,0,0,0
B1014,0,2,0
B1015,0,7,1
B1016,0,0,4
B1017,0,0,2
B1018,0,0,1
B1019,0,0,4
B1020,0,0,4
B1021,0,0,1
B1022,0,0,3
B1023,0,0,0
B1024,0,0,1
B1025,0,0,1
B1026,0,0,2
B1027,0,8,1
B1028,5,0,1
B1029,1,0,3
B1030,5,0,1
B1031,2,8,0
B1032,0,2,1
B1033,0,0,2
B1034,0,0,1
B1035,0,5,0
B1036,0,0,2
B1037,0,0,3
B1038,0,0,2
B1039,0,3,3
B1040,0,1,0
B1041,0,0,3
B1042,0,0,3
B1043,0,0,2
B1044,0,4,3
B1045,0,0,3
B1046,1,0,1
B1047,2,0,3
B1048,0,1,1
B1049,0,0,0
B1050,0,0,3
B1051,0,0,3
B1052,0,3,1
B1053,0,0,0
B1054,0,0,1
B1055,0,0,2
B1056,0,0,2
B1057,0,0,0
B1058,0,0,2
B1059,0,0,4
B1060,0,0,1
B1061,0,0,1
B1062,0,0,0
B1063,0,0,0
B1064,0,0,4
B1065,0,1,1
B1066,0,0,4
B1067,0,0,3
B1068,0,0,4
B1069,1,7,0
B1070,0,0,2
B1071,0,1,3
B1072,0,0,0
B1073,0,8,1
B1074,0,0,1
B1075,0,0,3
B1076,0,2,1
B1077,0,1,2
B1078,0,0,0
B1079,0,0,4
B1080,1,0,4
B1081,0,8,2
B1082,0,0,2
B1083,0,0,2
B1084,0,6,4
B1085,0,0,1
B1086,2,0,3
B1087,0,0,1
B1088,0,2,1
B1089,2,0,4
B1090,5,0,1
B1091,0,0,4
B1092,0,0,0
B1093,0,8,1
B1094,0,0,4
B1095,0,0,1
B1096,0,5,1
B1097,1,8,0
B1098,1,0,2
B1099,0,0,0
B1100,0,0,2
B1101,0,3,0
B1102,0,5,4
B1103,0,4,4
B1104,0,0,2
B1105,0,0,3
B1106,0,0,4
B1107,0,0,3
B1108,0,0,2
B1109,0,0,3
B1110,2,9,4
B1111,0,0,2
B1112,0,0,0
B1113,0,0,2
B1114,0,7,2
B1115,0,0,4
B1116,0,0,1
B1117,0,5,4
B1118,0,0,3
B1119,0,0,1
B1120,0,7,0
B1121,0,0,4
B1122,0,0,1
B1123,0,0,2
B1124,0,0,1
B1125,0,8,2
B1126,0,0,3
B1127,0,4,1
B1128,0,0,4
B1129,0,0,4
B1130,0,5,1
B1131,0,0,1
B1132,0,6,3
B1133,0,0,4
B1134,1,0,1
B1135,0,0,3
B1136,0,0,2
B1137,0,2,4
B1138,0,0,1
B1139,0,0,4
B1140,0,6,4
B1141,0,0,2
B1142,0,0,1
B1143,0,0,2
B1144,0,0,4
B1145,0,0,2
B1146,0,0,1
B1147,0,0,0
B1148,1,3,1
B1149,1,0,2
B1150,0,2,4
B1151,0,0,2
B1152,0,0,2
B1153,0,0,3
B1154,0,0,0
B1155,0,0,4
B1156,0,0,4
B1157,0,0,2
B1158,0,0,1
B1159,0,0,4
B1160,0,0,2
B1161,0,2,2
B1162,0,9,2
B1163,0,2,2
B1164,0,0,1
B1165,0,0,0
B1166,2,7,1
B1167,0,0,1
B1168,0,7,0
B1169,0,6,4
B1170,0,0,2
B1171,0,1,1
B1172,0,0,4
B1173,0,0,4
B1174,1,0,0
B1175,0,9,0
B1176,0,0,4
B1177,0,0,2
B1178,0,0,0
B1179,0,0,0
B1180,0,0,3
B1181,2,0,3
B1182,0,0,4
B1183,0,0,2
B1184,0,3,0
B1185,0,0,0
B1186,0,0,0
B1187,2,0,1
B1188,2,0,2
B1189,0,0,2
B1190,2,1,0
B1191,0,0,2
B1192,0,1,3
B1193,0,0,1
B1194,1,1,2
B1195,0,6,1
B1196,0,0,1
B1197,1,0,2
B1198,0,0,4
B1199,0,2,0
B1200,0,5,3
B1201,0,0,4
B1202,0,0,0
B1203,1,9,2
B1204,0,3,3
B1205,0,0,4
B1206,0,0,0
B1207,5,3,1
B1208,0,5,1
B1209,0,0,3
B1210,2,5,2
B1211,0,0,0
B1212,0,7,1
B1213,0,0,4
B1214,0,0,2
B1215,0,7,3
B1216,0,0,2
B1217,0,0,3
B1218,0,4,3
B1219,0,0,2
B1220,0,8,0
B1221,0,0,2
B1222,0,6,2
B1223,0,5,4
B1224,0,0,4
B1225,5,5,0
B1226,0,2,3
B1227,1,0,0
B1228,0,0,1
B1229,1,0,2
B1230,0,0,4
B1231,0,1,1
B1232,0,0,1
B1233,0,0,0
B1234,0,0,3
B1235,2,0,0
B1236,0,0,0
B1237,0,0,3
B1238,0,0,3
B1239,1,0,4
B1240,0,0,4
B1241,0,9,3
B1242,0,0,4
B1243,0,0,1
B1244,1,0,1
B1245,0,0,0
B1246,0,6,4
B1247,1,4,0
B1248,0,0,3
B1249,0,0,2
B1250,0,0,3
B1251,1,2,4
B1252,1,6,1
B1253,0,0,2
B1254,0,8,1
B1255,1,0,1
B1256,0,0,1
B1257,0,6,2
B1258,0,0,3
B1259,0,6,3
B1260,0,5,2
B1261,0,0,2
B1262,0,0,3
B1263,0,0,3
B1264,0,0,4
B1265,0,0,4
B1266,0,0,1
B1267,0,0,1
B1268,1,0,0
B1269,0,0,3
B1270,0,0,1
B1271,0,8,0
B1272,1,0,4
B1273,0,0,0
B1274,0,0,2
B1275,0,0,4
B1276,2,9,3
B1277,0,4,3
B1278,0,0,0
B1279,0,0,1
B1280,0,9,0
B1281,0,0,0
B1282,0,0,0
B1283,0,0,2
B1284,0,0,2
B1285,0,6,4
B1286,0,5,4
B1287,1,0,2
B1288,1,0,1
B1289,0,5,4
B1290,0,0,4
B1291,0,3,0
B1292,0,0,2
B1293,2,4,3
B1294,0,8,1
B1295,0,0,3
B1296,2,0,1
B1297,0,0,0
B1298,0,0,0
B1299,0,0,0
B1300,0,2,2
B1301,0,0,3
B1302,0,7,0
B1303,1,2,0
B1304,0,0,2
B1305,0,3,4
B1306,0,0,0
B1307,0,4,0
B1308,0,0,1
B1309,0,0,2
B1310,1,9,4
B1311,1,0,2
B1312,0,0,2
B1313,0,0,2
B1314,0,0,1
B1315,0,0,3
B1316,0,0,2
B1317,0,7,4
B1318,0,0,3
B1319,0,0,0
B1320,1,0,1
B1321,0,0,4
B1322,0,0,1
B1323,0,0,1
B1324,0,0,3
B1325,1,2,3
B1326,0,9,0
B1327,0,1,2
B1328,0,6,4
B1329,0,0,0
B1330,0,0,3
B1331,0,0,0
B1332,0,4,3
B1333,0,0,1
B1334,0,0,1
B1335,0,0,1
B1336,1,0,4
B1337,0,3,2
B1338,0,0,3
B1339,0,4,1
B1340,0,0,2
B1341,0,0,0
B1342,1,0,4
B1343,0,0,1
B1344,0,0,1
B1345,0,0,2
B1346,0,9,2
B1347,0,0,1
B1348,0,3,3
B1349,0,0,1
B1350,0,6,2
B1351,1,0,3
B1352,5,3,2
B1353,0,0,2
B1354,1,9,1
B1355,0,2,3
B1356,0,0,1
B1357,0,0,0
B1358,0,0,2
B1359,0,8,1
B1360,1,5,2
B1361,0,7,3
B1362,1,0,3
B1363,0,0,1
B1364,0,9,2
B1365,0,6,1
B1366,0,0,2
B1367,0,9,4
B1368,0,0,3
B1369,0,9,2
B1370,1,0,4
B1371,0,0,2
B1372,1,0,4
B1373,0,7,3
B1374,0,0,3
B1375,2,0,1
B1376,0,0,1
B1377,0,0,2
B1378,0,4,1
B1379,0,2,0
B1380,0,3,2
B1381,0,0,4
B1382,0,0,2
B1383,1,0,1
B1384,0,0,3
B1385,1,0,2
B1386,0,0,0
B1387,1,0,3
B1388,0,0,2
B1389,0,2,3
B1390,0,0,0
B1391,0,7,2
B1392,0,0,0
B1393,0,0,0
B1394,0,0,0
B1395,0,0,3
B1396,0,2,3
B1397,0,0,4
B1398,0,0,4
B1399,0,0,3
B1400,0,6,3
B1401,0,0,4
B1402,0,0,4
B1403,0,0,1
B1404,0,0,0
B1405,0,7,0
B1406,2,2,4
B1407,0,1,1
B1408,0,0,4
B1409,0,8,0
B1410,0,0,4
B1411,1,0,4
B1412,0,0,3
B1413,0,0,2
B1414,0,0,1
B1415,0,0,3
B1416,0,0,3
B1417,0,0,1
B1418,0,0,2
B1419,0,7,0
B1420,0,0,0
B1421,0,2,2
B1422,0,0,2
B1423,0,0,2
B1424,0,1,2
B1425,0,0,4
B1426,0,0,1
B1427,1,0,0
B1428,0,0,2
B1429,2,0,1
