build_id,timestamp,code_churn,complexity_score,test_pass_rate,team_name
B1000,2025-01-01,53,22,1.0,Smt_Control
B1001,2025-01-01,373,43,0.93,Smt_Control
B1002,2025-01-01,11,10,0.924,Smt_Control
B1003,2025-01-01,70,20,0.889,Smt_Process
B1004,2025-01-01,60,16,0.974,Smt_Control
B1005,2025-01-02,78,12,0.957,Smt_Process
B1006,2025-01-02,28,13,1.0,Smt_Control
B1007,2025-01-02,83,22,1.0,Smt_Process
B1008,2025-01-02,862,64,0.85,Legacy_Kernel
B1009,2025-01-02,37,11,0.874,Legacy_Kernel
B1010,2025-01-03,97,17,0.939,Smt_Control
B1011,2025-01-03,43,11,1.0,Legacy_Kernel
B1012,2025-01-03,55,9,0.962,Smt_Process
B1013,2025-01-03,24,9,0.936,Smt_Process
B1014,2025-01-03,43,17,0.942,Legacy_Kernel
B1015,2025-01-04,88,11,0.992,Legacy_Kernel
B1016,2025-01-04,626,57,0.917,Legacy_Kernel
B1017,2025-01-04,81,15,0.944,Legacy_Kernel
B1018,2025-01-04,717,62,0.792,Smt_Control
B1019,2025-01-04,16,8,1.0,Smt_Data
B1020,2025-01-05,62,18,0.949,Legacy_Kernel
B1021,2025-01-05,698,51,0.914,Smt_Process
B1022,2025-01-05,83,14,0.952,Smt_Data
B1023,2025-01-05,285,35,1.0,Smt_Control
B1024,2025-01-05,461,43,0.856,Legacy_Kernel
B1025,2025-01-06,87,21,0.955,Smt_Data
B1026,2025-01-06,79,24,1.0,Smt_Process
B1027,2025-01-06,28,15,1.0,Smt_Data
B1028,2025-01-06,38,7,0.944,Legacy_Kernel
B1029,2025-01-06,94,24,0.986,Smt_Control
B1030,2025-01-07,418,43,0.895,Smt_Control
B1031,2025-01-07,37,17,0.959,Legacy_Kernel
B1032,2025-01-07,226,25,1.0,Legacy_Kernel
B1033,2025-01-07,68,16,1.0,Smt_Control
B1034,2025-01-07,19,6,0.879,Smt_Process
B1035,2025-01-08,10,9,0.995,Smt_Control
B1036,2025-01-08,47,20,0.983,Legacy_Kernel
B1037,2025-01-08,70,20,1.0,Smt_Control
B1038,2025-01-08,33,7,1.0,Legacy_Kernel
B1039,2025-01-08,34,18,1.0,Legacy_Kernel
B1040,2025-01-09,83,23,1.0,Smt_Control
B1041,2025-01-09,96,23,0.958,Legacy_Kernel
B1042,2025-01-09,96,22,1.0,Smt_Control
B1043,2025-01-09,83,15,0.961,Legacy_Kernel
B1044,2025-01-09,43,21,1.0,Legacy_Kernel
B1045,2025-01-10,16,13,1.0,Smt_Process
B1046,2025-01-10,59,19,1.0,Smt_Process
B1047,2025-01-10,57,18,0.957,Legacy_Kernel
B1048,2025-01-10,17,19,1.0,Smt_Control
B1049,2025-01-10,84,14,1.0,Smt_Control
B1050,2025-01-11,80,11,1.0,Smt_Process
B1051,2025-01-11,952,82,0.836,Smt_Process
B1052,2025-01-11,16,19,1.0,Legacy_Kernel
B1053,2025-01-11,825,68,0.848,Smt_Data
B1054,2025-01-11,42,8,0.989,Legacy_Kernel
B1055,2025-01-12,32,16,0.952,Smt_Data
B1056,2025-01-12,70,23,1.0,Smt_Data
B1057,2025-01-12,78,20,0.982,Smt_Process
B1058,2025-01-12,59,9,0.903,Smt_Control
B1059,2025-01-12,752,56,0.889,Smt_Data
B1060,2025-01-13,329,28,0.905,Smt_Control
B1061,2025-01-13,92,13,0.93,Legacy_Kernel
B1062,2025-01-13,61,22,0.934,Smt_Control
B1063,2025-01-13,59,20,1.0,Smt_Process
B1064,2025-01-13,848,74,0.923,Smt_Process
B1065,2025-01-14,72,19,1.0,Smt_Control
B1066,2025-01-14,96,25,0.941,Smt_Process
B1067,2025-01-14,19,18,0.942,Legacy_Kernel
B1068,2025-01-14,27,14,0.965,Smt_Control
B1069,2025-01-14,54,21,0.998,Smt_Control
B1070,2025-01-15,363,30,0.943,Smt_Data
B1071,2025-01-15,42,14,0.928,Smt_Data
B1072,2025-01-15,82,15,0.991,Smt_Control
B1073,2025-01-15,52,22,1.0,Smt_Data
B1074,2025-01-15,82,17,1.0,Smt_Process
B1075,2025-01-16,31,7,1.0,Smt_Control
B1076,2025-01-16,271,23,1.0,Smt_Data
B1077,2025-01-16,58,13,1.0,Smt_Control
B1078,2025-01-16,982,76,0.865,Smt_Process
B1079,2025-01-16,48,11,0.964,Smt_Process
B1080,2025-01-17,23,6,0.992,Legacy_Kernel
B1081,2025-01-17,36,9,0.992,Legacy_Kernel
B1082,2025-01-17,66,14,0.991,Smt_Process
B1083,2025-01-17,52,16,0.992,Smt_Process
B1084,2025-01-17,49,10,1.0,Smt_Process
B1085,2025-01-18,500,46,0.882,Legacy_Kernel
B1086,2025-01-18,764,62,0.986,Legacy_Kernel
B1087,2025-01-18,89,13,0.989,Smt_Process
B1088,2025-01-18,54,13,0.926,Smt_Data
B1089,2025-01-18,46,19,0.943,Smt_Data
B1090,2025-01-19,680,61,0.942,Legacy_Kernel
B1091,2025-01-19,225,21,0.915,Smt_Control
B1092,2025-01-19,82,12,0.981,Smt_Control
B1093,2025-01-19,46,9,0.962,Legacy_Kernel
B1094,2025-01-19,29,17,1.0,Smt_Control
