incident_id,related_build_id,downtime_minutes,error_log
INC-42861,B1008,115,SEG_FAULT
INC-27456,B1009,148,TIMEOUT_ERR
INC-68765,B1010,133,TIMEOUT_ERR
INC-38391,B1018,173,TIMEOUT_ERR
INC-24886,B1028,30,NULL_POINTER
INC-87282,B1029,79,TIMEOUT_ERR
INC-13640,B1030,189,TIMEOUT_ERR
INC-38875,B1031,37,TIMEOUT_ERR
INC-36583,B1034,188,NULL_POINTER
INC-48945,B1053,100,MEMORY_LEAK
INC-20383,B1060,118,MEMORY_LEAK
INC-46642,B1061,131,TIMEOUT_ERR
INC-25018,B1064,86,TIMEOUT_ERR
INC-35678,B1066,130,MEMORY_LEAK
INC-88215,B1067,103,SEG_FAULT
INC-43902,B1076,215,MEMORY_LEAK
INC-18110,B1078,88,MEMORY_LEAK
INC-48282,B1086,40,SEG_FAULT
INC-71317,B1089,78,MEMORY_LEAK
INC-67978,B1090,142,SEG_FAULT
INC-84209,B1091,33,NULL_POINTER
INC-88135,B1098,186,MEMORY_LEAK
INC-31896,B1100,226,SEG_FAULT
INC-40583,B1106,70,TIMEOUT_ERR
INC-34560,B1110,53,NULL_POINTER
INC-66511,B1112,160,MEMORY_LEAK
INC-32498,B1114,142,MEMORY_LEAK
INC-66754,B1119,209,MEMORY_LEAK
INC-75954,B1120,150,TIMEOUT_ERR
INC-80543,B1126,146,TIMEOUT_ERR
INC-18331,B1129,105,MEMORY_LEAK
INC-72683,B1130,161,SEG_FAULT
INC-51202,B1135,196,TIMEOUT_ERR
INC-89816,B1136,209,NULL_POINTER
INC-43894,B1144,96,NULL_POINTER
INC-27519,B1147,229,MEMORY_LEAK
INC-64775,B1149,118,TIMEOUT_ERR
INC-28572,B1151,141,TIMEOUT_ERR
INC-49588,B1152,186,TIMEOUT_ERR
INC-67786,B1155,165,TIMEOUT_ERR
INC-24667,B1161,14,NULL_POINTER
INC-13436,B1167,158,NULL_POINTER
INC-56519,B1178,149,TIMEOUT_ERR
INC-75948,B1181,32,TIMEOUT_ERR
INC-28978,B1188,118,TIMEOUT_ERR
INC-75719,B1189,40,SEG_FAULT
INC-13360,B1190,158,MEMORY_LEAK
INC-73010,B1193,221,SEG_FAULT
INC-39525,B1194,10,NULL_POINTER
INC-22322,B1196,129,MEMORY_LEAK
INC-67974,B1201,236,MEMORY_LEAK
INC-30530,B1203,180,TIMEOUT_ERR
INC-30938,B1210,137,NULL_POINTER
INC-63005,B1211,105,SEG_FAULT
INC-19389,B1218,101,MEMORY_LEAK
INC-67201,B1222,170,NULL_POINTER
INC-69804,B1225,109,TIMEOUT_ERR
INC-55551,B1227,31,NULL_POINTER
INC-95538,B1229,115,MEMORY_LEAK
INC-21632,B1230,149,NULL_POINTER
INC-55542,B1233,141,NULL_POINTER
INC-97328,B1234,168,MEMORY_LEAK
INC-80690,B1236,46,TIMEOUT_ERR
INC-71420,B1239,162,MEMORY_LEAK
INC-88633,B1244,140,NULL_POINTER
INC-98120,B1247,212,TIMEOUT_ERR
INC-63697,B1252,185,TIMEOUT_ERR
INC-23193,B1260,133,MEMORY_LEAK
INC-14046,B1267,155,SEG_FAULT
INC-15305,B1277,45,SEG_FAULT
INC-99793,B1279,140,NULL_POINTER
INC-83012,B1284,185,SEG_FAULT
INC-25085,B1290,13,TIMEOUT_ERR
INC-53344,B1292,227,NULL_POINTER
INC-10907,B1293,149,NULL_POINTER
INC-29178,B1297,29,NULL_POINTER
INC-52868,B1302,229,TIMEOUT_ERR
INC-64358,B1310,114,TIMEOUT_ERR
INC-37159,B1311,56,TIMEOUT_ERR
INC-75294,B1316,210,SEG_FAULT
INC-49449,B1319,160,TIMEOUT_ERR
INC-11730,B1326,164,TIMEOUT_ERR
INC-14997,B1330,84,NULL_POINTER
INC-59663,B1342,133,NULL_POINTER
INC-22004,B1343,94,TIMEOUT_ERR
INC-62104,B1344,95,SEG_FAULT
INC-95158,B1349,82,NULL_POINTER
INC-10417,B1350,130,NULL_POINTER
INC-62254,B1352,180,NULL_POINTER
INC-14908,B1357,106,NULL_POINTER
INC-83007,B1366,35,TIMEOUT_ERR
INC-14668,B1367,157,TIMEOUT_ERR
INC-10831,B1368,81,MEMORY_LEAK
INC-14729,B1369,140,SEG_FAULT
INC-10332,B1375,102,NULL_POINTER
INC-60696,B1385,212,SEG_FAULT
INC-36792,B1387,109,MEMORY_LEAK
INC-55466,B1390,173,MEMORY_LEAK
INC-18615,B1394,94,NULL_POINTER
INC-64762,B1405,192,NULL_POINTER
INC-51155,B1416,26,TIMEOUT_ERR
INC-99669,B1417,43,TIMEOUT_ERR
INC-38522,B1418,77,NULL_POINTER
INC-41720,B1420,107,SEG_FAULT
INC-37251,B1427,48,TIMEOUT_ERR
INC-91965,B1433,110,TIMEOUT_ERR
INC-90723,B1437,89,NULL_POINTER
INC-77371,B1439,55,MEMORY_LEAK
INC-49889,B1441,216,SEG_FAULT
INC-80703,B1443,134,NULL_POINTER
INC-12596,B1444,215,NULL_POINTER
INC-76126,B1447,20,TIMEOUT_ERR
INC-50315,B1453,235,MEMORY_LEAK
INC-83760,B1462,163,TIMEOUT_ERR
INC-78542,B1463,150,TIMEOUT_ERR
INC-44129,B1466,217,SEG_FAULT
INC-61812,B1478,174,MEMORY_LEAK
INC-41107,B1479,200,MEMORY_LEAK
INC-39376,B1480,195,TIMEOUT_ERR
INC-82731,B1481,160,TIMEOUT_ERR
INC-39157,B1484,98,NULL_POINTER
INC-18954,B1493,152,NULL_POINTER
INC-19339,B1501,181,TIMEOUT_ERR
INC-61209,B1521,12,SEG_FAULT
INC-73172,B1526,121,NULL_POINTER
INC-94956,B1531,121,TIMEOUT_ERR
INC-95340,B1532,199,SEG_FAULT
INC-95158,B1537,165,SEG_FAULT
INC-30897,B1544,184,TIMEOUT_ERR
INC-45032,B1545,177,TIMEOUT_ERR
INC-95841,B1546,25,NULL_POINTER
INC-16085,B1550,196,NULL_POINTER
INC-86665,B1551,212,NULL_POINTER
INC-84643,B1553,110,TIMEOUT_ERR
INC-74164,B1563,30,NULL_POINTER
INC-18013,B1564,179,SEG_FAULT
INC-80848,B1570,151,TIMEOUT_ERR
INC-67996,B1579,159,TIMEOUT_ERR
INC-19150,B1582,201,NULL_POINTER
INC-51061,B1586,93,SEG_FAULT
INC-60093,B1587,137,MEMORY_LEAK
INC-33935,B1591,204,TIMEOUT_ERR
INC-22611,B1592,56,MEMORY_LEAK
INC-56343,B1593,179,NULL_POINTER
INC-96950,B1595,15,SEG_FAULT
INC-10597,B1604,236,NULL_POINTER
INC-64678,B1612,13,NULL_POINTER
INC-34257,B1617,121,SEG_FAULT
INC-32868,B1624,27,TIMEOUT_ERR
INC-45971,B1630,120,MEMORY_LEAK
INC-12649,B1631,175,TIMEOUT_ERR
INC-13952,B1635,108,SEG_FAULT
INC-27658,B1636,199,SEG_FAULT
INC-53744,B1638,223,SEG_FAULT
INC-20883,B1639,36,TIMEOUT_ERR
INC-66688,B1640,189,SEG_FAULT
INC-53996,B1644,15,TIMEOUT_ERR
INC-12148,B1645,161,MEMORY_LEAK
INC-12886,B1646,158,TIMEOUT_ERR
INC-52491,B1647,81,NULL_POINTER
INC-22523,B1648,212,NULL_POINTER
INC-30580,B1656,83,MEMORY_LEAK
INC-10093,B1659,187,SEG_FAULT
INC-43399,B1661,72,MEMORY_LEAK
INC-84933,B1667,177,TIMEOUT_ERR
INC-24047,B1672,92,TIMEOUT_ERR
INC-27698,B1679,157,NULL_POINTER
INC-64870,B1680,70,SEG_FAULT
INC-66263,B1685,224,TIMEOUT_ERR
INC-50334,B1690,231,TIMEOUT_ERR
INC-17244,B1697,154,SEG_FAULT
INC-96881,B1702,28,SEG_FAULT
INC-29109,B1706,100,NULL_POINTER
INC-58643,B1707,192,MEMORY_LEAK
INC-26589,B1712,174,NULL_POINTER
INC-16816,B1715,205,NULL_POINTER
INC-96662,B1720,151,TIMEOUT_ERR
INC-77322,B1723,81,NULL_POINTER
INC-60390,B1728,144,SEG_FAULT
INC-77287,B1737,127,NULL_POINTER
INC-65281,B1739,173,NULL_POINTER
INC-26507,B1742,63,NULL_POINTER
INC-82877,B1756,21,TIMEOUT_ERR
